CustomerID,Lookalikes
C0001,"[('C0152', 0.9995340100676107), ('C0174', 0.999204257503191), ('C0035', 0.9989513249491623)]"
C0002,"[('C0062', 0.9989491315899413), ('C0144', 0.996545854337516), ('C0159', 0.9957058407639896)]"
C0003,"[('C0106', 0.9992391956687618), ('C0166', 0.9984930765408703), ('C0195', 0.9974390758331888)]"
C0004,"[('C0012', 0.997959764968836), ('C0065', 0.9946426010972113), ('C0018', 0.9917312732528522)]"
C0005,"[('C0197', 0.999411095820185), ('C0095', 0.998859068228764), ('C0007', 0.9973902976003601)]"
C0006,"[('C0079', 0.999997552108243), ('C0187', 0.9986597874635997), ('C0185', 0.9979817668821892)]"
C0007,"[('C0140', 0.9979859146419752), ('C0005', 0.9973902976003601), ('C0197', 0.9962276668433214)]"
C0008,"[('C0017', 0.9979044484983164), ('C0162', 0.9977617764641497), ('C0113', 0.9974731935370187)]"
C0009,"[('C0198', 0.9978051926000112), ('C0072', 0.9769082449932746), ('C0092', 0.9745974110275235)]"
C0010,"[('C0142', 0.9983273811117933), ('C0132', 0.9953354057847855), ('C0077', 0.9944485805636637)]"
C0011,"[('C0107', 0.9998562698282757), ('C0183', 0.9998306485302147), ('C0126', 0.9993385457670385)]"
C0012,"[('C0004', 0.997959764968836), ('C0018', 0.9969221289950578), ('C0064', 0.9947588774393216)]"
C0013,"[('C0155', 0.9991885815629827), ('C0099', 0.9987648877986554), ('C0105', 0.9983537031099252)]"
C0014,"[('C0128', 0.9992818180278187), ('C0151', 0.9987527701035582), ('C0097', 0.9971937443552318)]"
C0015,"[('C0123', 0.9988677897895739), ('C0131', 0.9979376245137269), ('C0071', 0.9978441914172871)]"
C0016,"[('C0183', 0.9995472264552966), ('C0107', 0.999298569359283), ('C0011', 0.9988938953472859)]"
C0017,"[('C0113', 0.9998998989239711), ('C0162', 0.9998919212384794), ('C0093', 0.9992935343640914)]"
C0018,"[('C0148', 0.9986836305404361), ('C0012', 0.9969221289950578), ('C0064', 0.9960068041289117)]"
C0019,"[('C0191', 0.9952767356157012), ('C0186', 0.9940089313789072), ('C0112', 0.9925256271511701)]"
C0020,"[('C0120', 0.9927109439557378), ('C0130', 0.9925908656960801), ('C0140', 0.7762967493922353)]"
